1PROG.- EEAMX14A                                       COORDINACION DE COBRANZA                                       PAGINA:      01,,,18/09/2019 14:03,,,,,,,,,,,,,
                    DELEGACION: 06 REGIONAL COLIMA                          SUBDELEGACION: 03 MANZANILLO                             ,,,,,,,,,,,,,,,,
 COBR0603                                                                                                                            ,,,,,,,,,,,,,,,,
                                           PATRONES CON CREDITOS EN R.A.L.E. AL 30 08 2019                                           ,,,,,,,,,,,,,,,,
                                                   C R E D I T O S   P R O P I O S                                                   ,,,,,,,,,,,,,,,,
                                                                                                                                     ,,,,,,,,,,,,,,,,
TOTAL DE LA SUBDELEGACION:,PATRONES:, 374 ,CREDITOS:," 1,609 ",IMPORTE:," 35,050,610.58 ",,,,,,,,,,
"              ACT.ECO:             MODALIDAD(ES): 10....17        TIPO DOCTO(S): 00....89        INCIDENCIA(S): 00,..,55             ",,,,,,,,,,,,,,,,
             IMPORTE:                                          PERIODO:                       ANTIGUEDAD  MAYOR  A:                  ,,,,,,,,,,,,,,,,
                                                                                                                                     ,,,,,,,,,,,,,,,,
REGPATR,MOV,FEC MOV,SECTOR,NUM CRED,CE,PERIODO,TD,FALTA,FEC NOTIF,FEC INC,FEC. INCID.,DIAS,IMPORTE,DEL CONT,SUB CONT,OBSERVACIONES
A48-00016-10,0,12/11/2017,00,179029906,,12/2017,70,12/11/2017,25/01/2018,052,26/09/2018,338,"13,149.56",,,
A48-10352-10,6,15/12/1982,05,196014301,,03/2019,81,30/07/2019,14/08/2019,002,14/08/2019,16,"1,087.43",,,
A48-10352-10,6,15/12/1982,05,198014805,,06/2019,80,30/07/2019,14/08/2019,002,14/08/2019,16,"1,364.22",,,
A48-11747-10,1,12/09/1993,02,192012932,,06/2019,02,18/07/2019,23/07/2019,031,23/08/2019,7,718.31,,,
A48-11747-10,1,12/09/1993,02,192015398,,07/2019,02,20/08/2019,22/08/2019,002,22/08/2019,8,742.24,,,
A48-11747-10,1,12/09/1993,02,198015398,,07/2019,80,20/08/2019,22/08/2019,002,22/08/2019,8,296.89,,,
A48-13034-10,1,17/09/1987,09,191060101,,07/2019,02,31/07/2019,,000,31/07/2019,30,978.08,,,
A48-14354-10,1,12/05/1990,00,198009104,,04/2019,80,21/05/2019,24/05/2019,014,22/07/2019,39,"10,862.71",,,
A48-14354-10,1,12/05/1990,00,192009104,,04/2019,02,21/05/2019,24/05/2019,014,22/07/2019,39,"27,156.79",,,
A48-14354-10,1,12/05/1990,00,198005004,,02/2019,80,20/03/2019,22/03/2019,014,18/06/2019,73,"6,694.83",,,
A48-14354-10,1,12/05/1990,00,192007812,,03/2019,02,22/04/2019,24/04/2019,014,18/06/2019,73,"23,714.80",,,
A48-14354-10,1,12/05/1990,00,198007812,,03/2019,80,22/04/2019,24/04/2019,014,18/06/2019,73,"9,485.92",,,
A48-14354-10,1,12/05/1990,00,198012933,,06/2019,80,18/07/2019,23/07/2019,031,23/08/2019,7,"10,818.51",,,
A48-14354-10,1,12/05/1990,00,192012933,,06/2019,02,18/07/2019,23/07/2019,031,23/08/2019,7,"27,046.29",,,
A48-14354-10,1,12/05/1990,00,198003739,,01/2019,80,19/02/2019,22/02/2019,014,18/06/2019,73,"8,201.98",,,
A48-14354-10,1,12/05/1990,00,196013652,,03/2019,81,18/07/2019,23/07/2019,031,23/08/2019,7,"9,059.51",,,
A48-14354-10,1,12/05/1990,00,136019457,,04/2013,81,18/09/2013,19/09/2013,014,18/06/2019,73,"10,191.22",,,
A48-14354-10,1,12/05/1990,00,192011762,,05/2019,02,18/06/2019,19/06/2019,009,30/08/2019,0,"30,336.65",,,
A48-14354-10,1,12/05/1990,00,198011762,,05/2019,80,18/06/2019,19/06/2019,009,30/08/2019,0,"12,134.66",,,
A48-14354-10,1,12/05/1990,00,132018590,,08/2013,02,18/09/2013,19/09/2013,014,18/06/2019,73,"27,669.00",,,
A48-14354-10,1,12/05/1990,00,138018590,,08/2013,80,18/09/2013,19/09/2013,014,18/06/2019,73,"11,067.60",,,
A48-14354-10,1,12/05/1990,00,196009890,,02/2019,81,21/05/2019,24/05/2019,014,22/07/2019,39,"7,416.43",,,
A48-14354-10,1,12/05/1990,00,198015399,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,"11,094.79",,,
A48-14354-10,1,12/05/1990,00,192015399,,07/2019,02,20/08/2019,21/08/2019,002,21/08/2019,9,"27,736.99",,,
A48-14354-10,1,12/05/1990,00,196005799,,01/2019,81,20/03/2019,22/03/2019,014,18/06/2019,73,"6,189.07",,,
A48-16034-10,1,03/01/1994,00,139009708,,05/2013,00,27/05/2013,06/05/2013,043,26/09/2017,703,"102,084.80",,,
A48-16301-10,1,16/08/1994,07,191060205,,07/2019,02,31/07/2019,,000,31/07/2019,30,742.24,,,
A48-16319-10,3,03/01/2007,05,191060208,,07/2019,02,31/07/2019,,000,31/07/2019,30,"1,557.58",,,
A48-16528-10,1,31/05/1995,07,198012934,,06/2019,80,18/07/2019,24/07/2019,031,23/08/2019,7,"1,040.90",,,
A48-16565-10,3,01/11/2017,07,191060224,,07/2019,02,31/07/2019,,000,31/07/2019,30,"1,889.62",,,
A48-16591-10,2,23/11/2017,75,148002593,,03/2010,82,27/10/2014,11/04/2014,025,30/04/2015,1583,"3,971.48",,,
A48-16591-10,2,23/11/2017,75,143002593,,03/2010,03,27/10/2014,11/04/2014,025,30/04/2015,1583,"9,928.70",,,
A48-16591-10,2,23/11/2017,75,149017298,,10/2014,88,10/06/2014,17/10/2014,025,13/05/2015,1570,"1,345.80",,,
A48-16606-10,1,09/01/1995,13,198000805,,05/2019,82,07/03/2019,07/11/2019,023,08/12/2019,18,309.32,,,
A48-16606-10,1,09/01/1995,13,198000006,,11/2018,82,01/03/2019,14/01/2019,023,02/07/2019,204,"2,096.66",,,
A48-16606-10,1,09/01/1995,13,149018158,,07/2008,57,12/09/2014,23/12/2014,014,25/05/2015,1558,"69,125.56",40,01,
A48-16606-10,1,09/01/1995,13,193000859,,06/2019,03,08/01/2019,15/08/2019,002,15/08/2019,15,"3,389.26",,,
A48-16606-10,1,09/01/1995,13,198000859,,06/2019,82,08/01/2019,15/08/2019,002,15/08/2019,15,"1,355.70",,,
A48-16606-10,1,09/01/1995,13,149018159,,08/2008,57,12/09/2014,23/12/2014,014,25/05/2015,1558,"69,667.66",40,01,
